PMT,DAQ,HV,CE,CE2,CE3,Slope,Constant
262,35,213,7252,7001.56,7001.56,0.0640478,12.5263
264,32,102,7302.83,6964.64,6964.64,0.0666255,5.9882
267,16,205,7354.58,7146.04,7146.04,0.063737,13.9933
268,20,104,6894.78,7245.84,7245.84,0.0620618,14.9819
270,34,202,7287.49,6990.87,6990.87,0.0643538,10.5975
271,33,113,7213.58,7237.5,7237.5,0.062073,18.9904
272,6,6,7338.79,7222.29,7222.29,0.0648766,7.32325
274,19,11,7541.23,6917.12,6917.12,0.0656196,14.5152
275,30,2,7395.97,6999.99,6999.99,0.0649104,15.282
276,8,106,7600.63,6704.69,6853.82,0.0669628,11.4061
277,0,7,7326.47,7248.1,7248.1,0.0629931,16.5181
278,2,107,7445.4,7075.86,7075.86,0.0649201,14.4741
279,23,211,7483.34,7322.26,7322.26,0.0646476,8.46715
281,27,112,7683.79,6773.08,7185.2,0.0654726,-0.325728
283,1,8,7358.54,7278.07,7278.07,0.0625994,9.24512
284,13,10,7530.62,6956.23,6956.23,0.0658387,12.808
285,5,208,7230,7485.67,7230,0.0620777,5.07433
286,11,209,7579.95,6895.45,7166.97,0.0655337,5.95646
287,9,109,7356.08,7167.41,7167.41,0.0634049,9.80501
288,4,207,8294.15,7009.22,7009.22,0.0632309,15.2094
289,21,111,7431.34,7181.47,7181.47,0.0633835,11.6488
290,12,5,7318.83,7231.41,7231.41,0.0619088,13.6442
291,17,210,6715.15,6997.44,6997.44,0.0580507,13.5628
292,10,206,7168.91,7213.69,7213.69,0.0612547,22.7234
293,18,4,7783.4,6745.12,7225.75,0.0645062,7.10374
294,26,103,7683.67,6697.07,7111.19,0.0638737,13.457
297,22,204,7446.63,6813.67,7187.35,0.0650091,8.71036
299,29,212,7631.01,6852.13,7212.5,0.0647957,7.71591
300,25,12,7625.78,6632.08,7125.32,0.0648129,13.998
301,7,9,7648.56,7065.07,7065.07,0.0646551,14.9094
303,28,203,7573.59,7232.55,7232.55,0.0634657,14.7522
304,24,3,7698.29,7054.98,7054.98,0.0644946,14.6659
305,15,110,7658.51,6759.13,7270.75,0.063312,13.7301
308,31,13,7451.91,6938.95,6938.95,0.0640085,19.2923
309,3,108,7283.39,6989.64,6989.64,0.065522,11.7955
310,14,105,7399.94,7071.1,7071.1,0.0633476,15.0087
