PMT,DAQ,HV,CE,CE2,CE3,Slope,Constant
262,35,213,7252,7001.56,7001.56,0.0639645,15.0545
264,32,102,7302.83,6964.64,6964.64,0.0665014,9.20673
267,16,205,7354.58,7146.04,7146.04,0.0635913,14.431
268,20,104,6894.78,7245.84,7245.84,0.0620366,15.816
270,34,202,7287.49,6990.87,6990.87,0.0643166,11.6491
271,33,113,7213.58,7237.5,7237.5,0.0621528,17.2945
272,6,6,7338.79,7222.29,7222.29,0.0647499,10.1482
274,19,11,7541.23,6917.12,6917.12,0.0655181,17.0176
275,30,2,7395.97,6999.99,6999.99,0.0649369,15.0888
276,8,106,7600.63,6704.69,6853.82,0.0666523,18.5036
277,0,7,7326.47,7248.1,7248.1,0.0630263,15.9662
278,2,107,7445.4,7075.86,7075.86,0.0649211,14.6798
279,23,211,7483.34,7322.26,7322.26,0.064548,10.9832
281,27,112,7683.79,6773.08,7185.2,0.0652968,3.74199
283,1,8,7358.54,7278.07,7278.07,0.0625701,10.0873
284,13,10,7530.62,6956.23,6956.23,0.0658117,13.7359
285,5,208,7230,7485.67,7230,0.0619816,7.46721
286,11,209,7579.95,6895.45,7166.97,0.0654365,8.31231
287,9,109,7356.08,7167.41,7167.41,0.0633511,11.2172
288,4,207,8294.15,7009.22,7009.22,0.0632129,15.849
289,21,111,7431.34,7181.47,7181.47,0.0633639,12.2274
290,12,5,7318.83,7231.41,7231.41,0.0619037,13.904
291,17,210,6715.15,6997.44,6997.44,0.0580245,14.3277
292,10,206,7168.91,7213.69,7213.69,0.061513,15.909
293,18,4,7783.4,6745.12,7225.75,0.0644119,9.46223
294,26,103,7683.67,6697.07,7111.19,0.063825,14.8747
297,22,204,7446.63,6813.67,7187.35,0.0649389,10.543
299,29,212,7631.01,6852.13,7212.5,0.0647178,9.69003
300,25,12,7625.78,6632.08,7125.32,0.0648388,13.5727
301,7,9,7648.56,7065.07,7065.07,0.064672,14.8526
303,28,203,7573.59,7232.55,7232.55,0.0634688,14.9408
304,24,3,7698.29,7054.98,7054.98,0.0644647,15.3958
305,15,110,7658.51,6759.13,7270.75,0.0633025,14.1701
308,31,13,7451.91,6938.95,6938.95,0.0640584,18.3765
309,3,108,7283.39,6989.64,6989.64,0.0654833,12.8181
310,14,105,7399.94,7071.1,7071.1,0.0633685,14.649
